Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Epimap_v3_Digestive_large_intestine_female_embryo__103_days_	4.1828659387249343e-07	1.1126967689729812e-07	8.522379565565824e-05
Epimap_v3_Digestive_large_intestine_female_embryo__91_day_	3.1646083614764677e-07	8.483434813513126e-08	9.561133750549786e-05
Epimap_v3_Cancer_COLO829	2.4028044434714105e-07	6.445640342625462e-08	9.658009317956534e-05
Epimap_v3_Digestive_esophagus_squamous_epithelium_male_adult__37_years_	3.0912257147421014e-07	8.445676038104047e-08	0.00012604453949497342
Epimap_v3_Cancer_HeLa_S3_treated_with_interferon_alpha_for_4_hours	2.0418850778853276e-07	5.7876979041041465e-08	0.00020937622555590153
Epimap_v3_Cancer_LoVo	3.690203816430266e-07	1.0520513109632748e-07	0.00022606105681552687
Epimap_v3_Cancer_HAP_1	3.784135563916839e-07	1.0831516358661548e-07	0.00023824674249026223
Epimap_v3_Digestive_esophagus_male_adult__34_years_	2.1767836397209833e-07	6.234327751604645e-08	0.0002400600424052727
Epimap_v3_Cancer_Ishikawa_treated_with_0_02pct_dimethyl_sulfoxide_for_1_hour	1.8903841170049753e-07	5.465093369885833e-08	0.0002710771292570206
Epimap_v3_Digestive_colonic_mucosa_female_adult__73_years_	3.0125500342866455e-07	8.790010043586044e-08	0.00030487158886494613
Epimap_v3_Brain_cerebellum_male_adult__53_years_	3.204712096157266e-07	9.389296564223245e-08	0.00032107748456810625
Epimap_v3_Cancer_PC_3	2.015505480518387e-07	6.007692410775363e-08	0.0003970048130891138
Epimap_v3_Cancer_A549_treated_with_100_nM_dexamethasone_for_3_hours	1.458580230072759e-07	4.3550680158491956e-08	0.0004052906706614185
Epimap_v3_Cancer_A549_treated_with_100_nM_dexamethasone_for_2_hours	1.5173650994562138e-07	4.6401331215601665e-08	0.0005375671476535106
Epimap_v3_Cancer_A549_treated_with_100_nM_dexamethasone_for_6_hours	1.6023138451500068e-07	4.905816731762188e-08	0.0005451004055581135
Epimap_v3_Cancer_A549_treated_with_100_nM_dexamethasone_for_4_hours	1.4866322070617843e-07	4.6474975045296496e-08	0.0006900522081712306
Epimap_v3_Cancer_A549_treated_with_100_nM_dexamethasone_for_8_hours	1.3724572290799339e-07	4.308474436362421e-08	0.0007225628442614429
Epimap_v3_Cancer_A549_treated_with_100_nM_dexamethasone_for_10_hours	1.529191635763534e-07	4.8251103277020586e-08	0.0007641995483522232
Epimap_v3_Bone_leg_bone_male_embryo__81_day_	2.9241781055208715e-07	9.329920883795993e-08	0.0008616347332153113
Epimap_v3_Cancer_A549_treated_with_100_nM_dexamethasone_for_12_hours	1.3333191556768214e-07	4.281771169834534e-08	0.0009230256051723793
Epimap_v3_Cancer_A549_treated_with_100_nM_dexamethasone_for_1_hour	1.4485279037733604e-07	4.681759339309452e-08	0.0009874474010012882
Epimap_v3_Cancer_A549_treated_with_100_nM_dexamethasone_for_5_hours	1.53213513334362e-07	4.996845468258699e-08	0.0010839739890428877
Epimap_v3_Cancer_Ishikawa_treated_with_10_nM_17b_estradiol_for_30_minutes	2.1922394603262188e-07	7.158055466827852e-08	0.0010970471497475278
Epimap_v3_Cancer_A549_treated_with_0_02pct_ethanol_for_1_hour	1.4521345750897173e-07	4.7556397657722854e-08	0.00113094382630991
Epimap_v3_Cancer_MCF_7_treated_with_10_mM_lactate_for_24_hours	1.3590767786333213e-07	4.4990097123040955e-08	0.001260391778250676
Epimap_v3_Cancer_MCF_7_originated_from_MCF_7	1.3716344186678587e-07	4.6546653031251676e-08	0.0016054302313006632
Epimap_v3_Cancer_A549_treated_with_100_nM_dexamethasone_for_7_hours	1.216907719993094e-07	4.1428330032834476e-08	0.0016549881376391096
Epimap_v3_Cancer_MCF_7_treated_with_CTCF_shRNA_knockdown	1.7574092523776763e-07	5.992931123401056e-08	0.0016813854285827202
Epimap_v3_Cancer_PC_9	1.8965724746852747e-07	6.517682293577599e-08	0.0018077921443703368
Epimap_v3_Cancer_A549_treated_with_100_nM_dexamethasone_for_30_minutes	1.1502835564365103e-07	3.9841790229272145e-08	0.001943879004993376
Epimap_v3_Cancer_A549_treated_with_100_nM_dexamethasone_for_25_minutes	1.0931295869789448e-07	3.809915764787219e-08	0.0020577529250464586
Epimap_v3_Cancer_A549_treated_with_100_nM_dexamethasone_for_5_minutes	1.1124315925802602e-07	3.988186474694993e-08	0.002640967700294968
Epimap_v3_Cancer_SK_MEL_5	2.861351782451749e-07	1.0277569250345931e-07	0.0026840356521047534
Epimap_v3_Cancer_HuH_7	1.9125751631198595e-07	6.936951161266213e-08	0.0029159753590448645
Epimap_v3_Cancer_A549_treated_with_100_nM_dexamethasone_for_10_minutes	1.1179879650739739e-07	4.086158948189124e-08	0.0031092072786975543
Epimap_v3_Cancer_A549_treated_with_100_nM_dexamethasone_for_15_minutes	1.0467574708394503e-07	3.840576558191242e-08	0.0032099979134473304
Epimap_v3_Cancer_Ishikawa_treated_with_600_nM_afimoxifene_for_30_minutes	1.7619084659903365e-07	6.466170753735255e-08	0.0032169281154267827
Epimap_v3_Cancer_Caki2	1.4409858375179724e-07	5.3157063912083345e-08	0.0033559759415339027
Epimap_v3_Brain_frontal_cortex_male_adult__27_years__and_male_adult__35_years_	1.3457855713287441e-07	5.009006528626683e-08	0.003607746221289374
Epimap_v3_Cancer_HepG2	1.1440956579177289e-07	4.2981569781046585e-08	0.0038858736755577068
Epimap_v3_Cancer_renal_cell_carcinoma	1.5263982761601096e-07	5.745242568000004e-08	0.00394426595306944
Epimap_v3_Cancer_A549_treated_with_100_nM_dexamethasone_for_20_minutes	1.067074309210402e-07	4.024168516679225e-08	0.004004809314554159
Epimap_v3_Cancer_A549	1.058372961592421e-07	4.0306260317278015e-08	0.004321927571675439
Epimap_v3_Cancer_SJSA1	1.592231141913189e-07	6.095143740117378e-08	0.004496835120620961
Epimap_v3_Cancer_NCI_H460	1.261128895186857e-07	4.8427976442889217e-08	0.004605350890436097
Epimap_v3_Brain_frontal_cortex_female_adult__67_years__and_female_adult__80_years_	1.3216863488600334e-07	5.191766791423738e-08	0.005452393654031657
Epimap_v3_Cancer_H4	2.511665656503422e-07	9.896429696933543e-08	0.005575175056143291
Epimap_v3_Digestive_esophagus_female_adult__30_years_	1.465243024193976e-07	5.914161184733477e-08	0.006615019828171511
Epimap_v3_Cancer_RKO	1.6481445601981676e-07	6.841116849564205e-08	0.007994321327010357
Epimap_v3_Brain_cerebellum_male_adult__27_years__and_male_adult__35_years_	1.2435554039423828e-07	5.3320688388638064e-08	0.00984457777142289
Epimap_v3_Cancer_Parathyroid_adenoma_male_adult__65_years_	1.0388517946421338e-07	4.4761501310879055e-08	0.010147199572279357
Epimap_v3_Bone_femur_female_embryo__98_days_	2.0076552005568333e-07	8.655138418488435e-08	0.010180972249056626
Epimap_v3_Brain_medulla_oblongata_male_adult__78_years__and_male_adult__84_years_	3.084413949466983e-07	1.3762352581193046e-07	0.012506667544644951
Epimap_v3_Brain_caudate_nucleus_male_adult__78_years_	3.179876049639249e-07	1.4269985144424373e-07	0.01292803405183983
Epimap_v3_Cancer_SW480	6.317246709659909e-07	2.883791236549044e-07	0.014240204455294782
Epimap_v3_Cancer_Parathyroid_adenoma_male_adult__62_years_	1.1597316950309582e-07	5.317167796696163e-08	0.014587716502181106
Epimap_v3_Cancer_HT1080	1.5315950007501413e-07	7.025237355680186e-08	0.014623811534942592
Epimap_v3_Brain_middle_frontal_gyrus_male_adult__78_years_	2.9952994097116523e-07	1.3786158860520444e-07	0.014901979783604575
Epimap_v3_Cancer_ACHN	1.2285557852030815e-07	5.6900269155974906e-08	0.015419700382677289
Epimap_v3_Cancer_Daoy	1.538893775060877e-07	7.37806760448248e-08	0.0184998189969649
Epimap_v3_Cancer_KMS_11	9.696220240231216e-08	4.684862991723558e-08	0.019240630348202677
Epimap_v3_Cancer_RCC_7860	1.3422150558534278e-07	6.495093171614926e-08	0.01939035198184685
Epimap_v3_Cancer_HeLa_S3_G1b_phase	1.7771668675006634e-07	8.921083021360135e-08	0.0231801714439466
Epimap_v3_Digestive_esophagus_squamous_epithelium_female_adult__53_years_	1.4106140820388493e-07	7.288710428218924e-08	0.02647422629360866
Epimap_v3_Brain_brain_male_embryo__122_days_	2.0137730357271043e-07	1.0948521704237225e-07	0.03293476861789976
Epimap_v3_Cancer_HuH_7_5	6.534309142100285e-08	3.829302629497065e-08	0.043967127850124466
Epimap_v3_Cancer_NCI_H226	1.1279352094463762e-07	6.621052529638049e-08	0.04423177496494533
Epimap_v3_Brain_superior_temporal_gyrus_male_adult__84_years_	2.0152096167687047e-07	1.1952260846376516e-07	0.04589319125003605
Epimap_v3_Brain_pons_male_adult__78_years_	1.8542433910834948e-07	1.1731490004668999e-07	0.0569882655455532
Epimap_v3_Cancer_Panc1	5.5219816926964636e-08	3.62108457972833e-08	0.0636354828308296
Epimap_v3_Bone_HS_5	1.0156284722991723e-07	7.023178583169263e-08	0.07407325669707839
Epimap_v3_Blood_T_cell_T_cell	9.08601358248843e-08	6.73337167545341e-08	0.08860421646235955
Epimap_v3_Brain_inferior_parietal_cortex_male_adult__84_years_	1.6272087647273819e-07	1.2124073986560047e-07	0.08977686758902198
Epimap_v3_Cancer_SK_N_SH_treated_with_6_mM_all_trans_retinoic_acid_for_48_hours	1.1404592606144059e-07	8.69299838097325e-08	0.094772124738085
Epimap_v3_Cancer_HCT116	9.249244967214284e-08	7.10102338685327e-08	0.09636886206026085
Epimap_v3_Brain_occipital_lobe_male_adult__84_years_	1.385132745828013e-07	1.1298089177869766e-07	0.11010150043744199
Epimap_v3_Cancer_SK_N_DZ	1.2215973592672725e-07	1.0025386891311752e-07	0.11151626108333601
Epimap_v3_Cancer_SK_N_MC	5.3445640782763295e-08	4.409727383943282e-08	0.11275729758137815
Epimap_v3_Cancer_K562_treated_with_500_mM_sodium_butyrate_for_72_hours	6.661429037975028e-08	5.508531385477318e-08	0.11327512891886277
Epimap_v3_Brain_brain_male_embryo__105_days_	1.1720801521400661e-07	9.829364942751294e-08	0.1165469020036139
Epimap_v3_Brain_midbrain_male_adult__78_years__and_male_adult__84_years_	1.0361182970338793e-07	8.906241313764064e-08	0.1223413241728118
Epimap_v3_Cancer_A172	8.403778817236829e-08	7.335297343481193e-08	0.12596730783292565
Epimap_v3_Cancer_8988T	4.6695587513501867e-08	4.07629992587962e-08	0.12599306566286866
Epimap_v3_Cancer_SJCRH30	8.991809192370507e-08	7.891726867213566e-08	0.1272688224845347
Epimap_v3_Brain_astrocyte_of_the_spinal_cord	8.209392140853554e-08	7.325989624386486e-08	0.13123233287937847
Epimap_v3_Blood_T_cell_T_cell_male_adult__36_years_	5.6435954093247986e-08	5.06644770643769e-08	0.1326576866005813
Epimap_v3_Brain_astrocyte_of_the_hippocampus	7.50372779466521e-08	6.924018940488257e-08	0.13924352212816182
Epimap_v3_Cancer_medulloblastoma	2.337121309258144e-07	2.176135174325632e-07	0.14141627024473702
Epimap_v3_Blood_T_cell_T_cell_male_adult__37_years_	4.7151030119913104e-08	4.539950459931974e-08	0.14949999092071603
Epimap_v3_Cancer_MG63	1.3084615900943788e-07	1.2705536246265367e-07	0.15154354944079396
Epimap_v3_Cancer_H54	3.344875756851939e-08	3.271728726208291e-08	0.1533059105101766
Epimap_v3_Cancer_SK_N_DZ_treated_with_dimethyl_sulfoxide_for_72_hours	8.77062950872913e-08	8.592286652023318e-08	0.1536849903707616
Epimap_v3_Cancer_KBM_7	5.8108683389063093e-08	5.843246965441093e-08	0.15999977803563803
Epimap_v3_Cancer_HeLa_S3	5.382561875147552e-08	5.505811397804891e-08	0.16413247477628573
Epimap_v3_Blood_T_cell_T_helper_2_cell_female_adult__26_years_	4.830683159718247e-08	4.973960461500026e-08	0.16572571028524496
Epimap_v3_Cancer_M059J	6.108619434252145e-08	6.362562193347683e-08	0.1685054706935743
Epimap_v3_Cancer_NB4	6.828983826443138e-08	7.396733157498911e-08	0.1779402319941456
Epimap_v3_Brain_Ammon_s_horn_male_adult__84_years_	8.420173542674292e-08	9.159219034692633e-08	0.17896638492655326
Epimap_v3_Blood_T_cell_T_helper_2_cell_male_adult__33_years_	4.3533033637094446e-08	4.81385994144364e-08	0.18291102556313377
Epimap_v3_Blood_T_cell_T_helper_17_cell	4.7163114513325385e-08	5.270407153416922e-08	0.18542919538015773
Epimap_v3_Digestive_esophagus_muscularis_mucosa_male_adult__37_years_	5.7589049626705794e-08	6.484281876142806e-08	0.18723459647854795
Epimap_v3_Cancer_RPMI_7951	6.20649450644926e-08	7.13180309127106e-08	0.19208025642908444
Epimap_v3_Cancer_BE2C	6.645374836107078e-08	7.763829500269547e-08	0.19601539098748605
Epimap_v3_Brain_brain_female_embryo__105_days_	6.739812995556095e-08	7.97036339982685e-08	0.19888538255981825
Epimap_v3_Brain_astrocyte_of_the_cerebellum	6.574058910790796e-08	7.777113909884688e-08	0.19896936503548396
Epimap_v3_Blood_T_cell_T_helper_1_cell	3.811486309361763e-08	4.678518569578509e-08	0.2076283150899796
Epimap_v3_Blood_T_cell_T_cell_male_adult__21_year_	3.552834871508122e-08	4.4012291862115825e-08	0.20976498760973022
Epimap_v3_Brain_brain_female_embryo__109_days_	6.56177931975823e-08	8.309717483697745e-08	0.21486571617513645
Epimap_v3_Brain_brain_embryo__112_days_	5.919999213744664e-08	7.621920206070224e-08	0.2186658111178757
Epimap_v3_Digestive_esophagus_muscularis_mucosa_female_adult__53_years_	4.1481914807069244e-08	5.363501913318983e-08	0.21963958535960826
Epimap_v3_Brain_putamen_male_adult__78_years_	7.652226770485777e-08	1.0002506843644278e-07	0.2221265736666948
Epimap_v3_Digestive_gastroesophageal_sphincter_female_adult__53_years_	3.6520414815307386e-08	5.206773984818383e-08	0.24152609938025804
Epimap_v3_Cancer_A673	3.764401152205668e-08	5.4348686574631583e-08	0.2442681130163799
Epimap_v3_Blood_T_cell_T_helper_1_cell_male_adult__33_years_	3.366140990856265e-08	4.9917485301415737e-08	0.25004725289839047
Epimap_v3_Cancer_K562_treated_with_0_05pct_dimethyl_sulfoxide_for_72_hours	3.397262146056338e-08	5.0479618062471357e-08	0.2504746631206345
Epimap_v3_Blood_T_cell_T_helper_2_cell	3.002238617854118e-08	4.613755546399758e-08	0.25761533177749285
Epimap_v3_Blood_T_cell_T_helper_17_cell_treated_with_phorbol_13_acetate_12_myristate___ionomycin	2.6300765198082717e-08	4.0597563846439766e-08	0.25854390634844115
Epimap_v3_Cancer_NT2_D1	3.33662025772066e-08	6.421928158961057e-08	0.3016827935223053
Epimap_v3_Blood_T_cell_T_helper_1_cell_female_adult__26_years_	2.4720407878567907e-08	4.8660305555868616e-08	0.30571966263173833
Epimap_v3_Brain_globus_pallidus_male_adult__78_years__and_male_adult__84_years_	4.389364648953729e-08	9.106777449788837e-08	0.31490695463300755
Epimap_v3_Cancer_CMK	2.1185343443895164e-08	5.30264346193477e-08	0.344753500951988
Epimap_v3_Brain_brain_female_embryo__85_days_	2.7197601511517296e-08	7.779607515622609e-08	0.36331900375652926
Epimap_v3_Brain_brain_embryo__80_days_	2.1627428364058023e-08	7.329978812868221e-08	0.3839761441423931
Epimap_v3_Bone_osteoblast	1.2963881504814423e-08	4.501268527929674e-08	0.3866714294594989
Epimap_v3_Cancer_ACC112	1.195556072629655e-08	4.721622268487565e-08	0.40005345263322156
Epimap_v3_Brain_brain_female_embryo__120_days_	1.8497132629461288e-08	8.888594887747673e-08	0.4175755899771321
Epimap_v3_Brain_brain_male_embryo__101_day_	1.6753111867947898e-08	8.114737060308892e-08	0.4182185672086961
Epimap_v3_Cancer_MM_1S	1.3861987411813442e-08	7.316896172063532e-08	0.4248693863792015
Epimap_v3_Cancer_HL_60	8.9433440915156e-09	5.5231005810979643e-08	0.4356820052085076
Epimap_v3_Cancer_WERI_Rb_1	1.2424753661978504e-08	8.012303091608148e-08	0.43838269605721025
Epimap_v3_Blood_T_cell_T_helper_17_cell_originated_from_blood_cell	8.263394609641446e-09	6.106955842744112e-08	0.4461829191430632
Epimap_v3_Cancer_K562_treated_with_1_mM_vorinostat_for_72_hours	7.221636457756295e-09	5.421872004435411e-08	0.4470197718353286
Epimap_v3_Brain_brain_female_embryo__117_days_	8.907628235372648e-09	7.817885157756447e-08	0.45464303377477905
Epimap_v3_Cancer_K562_G1_phase	5.45072327369133e-09	5.809192657649669e-08	0.4626223886388717
Epimap_v3_Cancer_NAMALWA	2.862875279323453e-09	4.199212501514332e-08	0.4728225747437797
Epimap_v3_Cancer_NAMALWA_treated_with_Sendai_virus_for_2_hours	2.0096417323284958e-10	4.2583087705287916e-08	0.49811726175191395
Epimap_v3_Cancer_K562_G2_phase	-4.747338473557276e-09	5.4840475217416446e-08	0.5344918834570642
Epimap_v3_Cancer_OCI_LY3	-4.205354015250771e-09	3.549397689781992e-08	0.5471566378290267
Epimap_v3_Brain_brain_female_embryo__96_days_	-9.581085033902683e-09	7.880179122611951e-08	0.5483859986543417
Epimap_v3_Cancer_RPMI8226	-6.523166106526081e-09	5.037920549812566e-08	0.5515115981130889
Epimap_v3_Cancer_Loucy	-6.461939411043408e-09	4.133367610188773e-08	0.5621158886037135
Epimap_v3_Brain_brain_embryo__56_days__and_male_embryo__58_days_	-1.3432036295110773e-08	6.573881054779128e-08	0.5809499581629758
Epimap_v3_Cancer_SU_DHL_6	-9.616381640815574e-09	3.921912313938321e-08	0.5968477572993588
Epimap_v3_Cancer_DOHH2	-1.0250768597628613e-08	3.315788194349087e-08	0.6213963946349624
Epimap_v3_Cancer_Karpas_422	-1.1341180988243069e-08	2.848420862811537e-08	0.6547426913967759
Epimap_v3_Brain_brain_male_embryo__72_days__and_male_embryo__76_days_	-2.6877506233511068e-08	6.610523517697974e-08	0.6578441986680723
Epimap_v3_Brain_brain_male_embryo__104_days_	-3.164895983106933e-08	7.44032691510367e-08	0.6647167159753681
Epimap_v3_Cancer_NCI_H929	-2.576196353053076e-08	5.057273765820297e-08	0.6947655235384654
Epimap_v3_Cancer_SK_N_SH	-2.614221311451478e-08	4.711056278414375e-08	0.7105225478202417
Epimap_v3_Cancer_DND_41	-2.288047193144263e-08	3.879670828173801e-08	0.7223218441788697
Epimap_v3_Brain_brain_female_embryo__142_days_	-4.463791787989012e-08	6.682317923909963e-08	0.74793336685456
Epimap_v3_Cancer_KOPT_K1	-2.419896165665509e-08	3.4817252457769594e-08	0.756481089630431
Epimap_v3_Brain_germinal_matrix_male_embryo__20_weeks_	-3.484423450886177e-08	4.645535538869167e-08	0.7733902659093701
Epimap_v3_Cancer_OCI_LY1	-2.3947665188378046e-08	2.6376788640135234e-08	0.8180362618750139
Epimap_v3_Brain_astrocyte	-6.860581188779883e-08	6.348580038675808e-08	0.8600731692845245
Epimap_v3_Cancer_OCI_LY7	-3.560631551889742e-08	3.287660556199893e-08	0.8606022127614421
Epimap_v3_Cancer_K562	-5.555411357171055e-08	4.750958517691007e-08	0.8788635066794938
Epimap_v3_Brain_brain_female_embryo__17_weeks_	-9.977432348139174e-08	6.114231702998402e-08	0.9486431344622417
Epimap_v3_Brain_cerebellar_cortex_male_adult__78_years__and_male_adult__84_years_	-9.16667736744818e-08	5.5678791471221516e-08	0.9501541309459085
Epimap_v3_Cancer_G401	-1.0982581062511866e-07	6.088259356767028e-08	0.9643761213120471
Epimap_v3_Brain_substantia_nigra_female_adult__75_years_	-9.737063408051689e-08	4.1281395186893844e-08	0.9908305866988114
Epimap_v3_Brain_layer_of_hippocampus_male_adult__81_year_	-1.000663772289231e-07	3.9691194983939554e-08	0.9941509492646586
Epimap_v3_Brain_layer_of_hippocampus_female_adult__75_years_	-1.2655021238055955e-07	4.829103746369345e-08	0.9956108995514391
Epimap_v3_Brain_substantia_nigra_male_adult__81_year_	-9.313134405604991e-08	3.0470786398398426e-08	0.9988799920791736
Epimap_v3_Brain_layer_of_hippocampus_male_adult__73_years_	-1.284139512935187e-07	3.879515575743091e-08	0.9995336054402512
Epimap_v3_Brain_caudate_nucleus_male_adult__81_year_	-1.3634107945667793e-07	3.833704246708826e-08	0.999811999729337
Epimap_v3_Brain_angular_gyrus_male_adult__81_year_	-1.4839178511940317e-07	3.905643621370299e-08	0.9999274822920999
Epimap_v3_Brain_middle_frontal_area_46_male_adult__81_year_	-1.8118071849890965e-07	4.7414172082312484e-08	0.9999336076168491
Epimap_v3_Brain_angular_gyrus_female_adult__75_years_	-1.775814030688639e-07	4.5609772063825835e-08	0.999950594806689
Epimap_v3_Brain_cingulate_gyrus_male_adult__81_year_	-1.2505083659694283e-07	3.105784227969175e-08	0.9999716795638115
Epimap_v3_Brain_temporal_lobe_female_adult__75_years_	-1.6790394566888525e-07	4.1270219801876455e-08	0.9999763319170643
Epimap_v3_Brain_cingulate_gyrus_female_adult__75_years_	-1.8703123021358146e-07	4.5876469420240415e-08	0.9999771744961226
Epimap_v3_Brain_middle_frontal_area_46_female_adult__75_years_	-2.03043050032599e-07	4.8948916006637135e-08	0.9999832347875716
Epimap_v3_Brain_caudate_nucleus_female_adult__75_years_	-1.6698657244311604e-07	3.9346751350048024e-08	0.9999890201881885
Epimap_v3_Brain_temporal_lobe_male_adult__81_year_	-1.561995753012687e-07	3.668200698791391e-08	0.9999896963410315
