Name	Coefficient	Coefficient_std_error	Coefficient_P_value
Epimap_v3_Lung_left_lung_female_embryo__117_days_	3.100784350492615e-07	8.619869493960058e-08	0.000160798387233405
Epimap_v3_Lung_left_lung_female_embryo__110_days_	3.009542941352146e-07	8.388264526851782e-08	0.00016673890201794448
Epimap_v3_Kidney_renal_pelvis_female_embryo__105_days_	4.4850542589976907e-07	1.2539626249217836e-07	0.0001739763017685221
Epimap_v3_Kidney_kidney_male_embryo__85_days_	3.971002571971685e-07	1.1121732651749854e-07	0.00017815760971391583
Epimap_v3_Kidney_kidney_embryo__80_days_	4.033746166549262e-07	1.1319537706496651e-07	0.0001829535408780499
Epimap_v3_iPSC_iPS_NIHi11_male_adult__71_year__originated_from_AG20443	3.132084608543261e-07	8.791068894294938e-08	0.000183458056780347
Epimap_v3_Kidney_right_kidney_male_embryo__115_days_	3.7093650588022916e-07	1.0441909945469245e-07	0.0001908802636770146
Epimap_v3_Lung_right_lung_male_embryo__96_days_	2.923672902304562e-07	8.23460760825569e-08	0.0001922718250057369
Epimap_v3_Lung_left_lung_male_embryo__91_day_	3.580484237123036e-07	1.0095504279907662e-07	0.0001951089957538927
Epimap_v3_Kidney_renal_cortex_interstitium_female_embryo__103_days_	3.884312500365265e-07	1.0960774856522899e-07	0.00019717956636104732
Epimap_v3_Kidney_right_kidney_female_embryo__87_days_	3.7704785590008607e-07	1.066631599581157e-07	0.00020393398663391964
Epimap_v3_Kidney_left_renal_pelvis_male_embryo__120_days_	4.1595037201885044e-07	1.1777320276973965e-07	0.00020637749160032823
Epimap_v3_Kidney_right_kidney_male_embryo__108_days_	4.0137367477072093e-07	1.1485826257691412e-07	0.0002374638712434048
Epimap_v3_Lung_left_lung_male_embryo__87_days_	2.798895933490881e-07	8.028754573895652e-08	0.0002450682313256441
Epimap_v3_Kidney_renal_cortex_interstitium_female_embryo__89_days_	3.6802274194004905e-07	1.0628685539326642e-07	0.0002675488119767659
Epimap_v3_Lung_lung_female_embryo__108_days_	2.929753172401241e-07	8.489513707942203e-08	0.00027922998219796676
Epimap_v3_Lung_lung_female_embryo__85_days_	1.7583372157525677e-07	5.098811960704837e-08	0.0002818303553097964
Epimap_v3_Kidney_kidney_male_embryo__87_days_	4.129036399689093e-07	1.1975498612176163e-07	0.00028247788664267524
Epimap_v3_Kidney_renal_cortex_interstitium_male_embryo__91_day_	4.0865699370245533e-07	1.1867727821582861e-07	0.00028719179488612503
Epimap_v3_Kidney_renal_cortex_interstitium_female_embryo__96_days_	3.7340352286896524e-07	1.0861648585675502e-07	0.0002932127185602867
Epimap_v3_Kidney_renal_pelvis_male_embryo__97_days_	3.7373962548537156e-07	1.0889593166691341e-07	0.0002994846473151814
Epimap_v3_Kidney_left_renal_pelvis_male_embryo__105_days_	3.720624560348309e-07	1.0880606892544685e-07	0.0003136805675293824
Epimap_v3_Kidney_HEK293T	2.2488322392874855e-07	6.578177963760326e-08	0.00031469222672661875
Epimap_v3_Lung_lung_embryo__112_days_	2.7991913377522283e-07	8.203253679074242e-08	0.00032209296663641886
Epimap_v3_Kidney_renal_pelvis_male_embryo__108_days_	3.687648145550936e-07	1.0810888761434792e-07	0.0003235661887207565
Epimap_v3_Lung_lung_male_embryo__82_days_	2.862904471634e-07	8.415255192237929e-08	0.0003344227920655292
Epimap_v3_Kidney_renal_cortex_interstitium_male_embryo__127_days_	4.105004649821438e-07	1.207597741884212e-07	0.00033777479821467117
Epimap_v3_Kidney_right_renal_cortex_interstitium_male_embryo__105_days_	3.6697862442346545e-07	1.0831835628930782e-07	0.000352068324945066
Epimap_v3_Kidney_kidney_female_embryo__113_days_	3.828193249525368e-07	1.1339360655427025e-07	0.0003677100204403133
Epimap_v3_Kidney_kidney_female_embryo__105_days_	3.428692148423412e-07	1.0192701621475319e-07	0.0003842889192867528
Epimap_v3_Kidney_kidney_embryo__59_days__and_female_embryo__59_days_	3.8989123036645363e-07	1.1628467663028616e-07	0.0003998437706545273
Epimap_v3_Kidney_right_renal_cortex_interstitium_male_embryo__120_days_	3.826737748625159e-07	1.1498752890594364e-07	0.00043742379693877207
Epimap_v3_Lung_lung_embryo__67_days_	3.032644304505181e-07	9.129737345545887e-08	0.00044732002206786475
Epimap_v3_Kidney_renal_pelvis_female_embryo__103_days_	3.381932505659849e-07	1.026681975626487e-07	0.0004937904882646284
Epimap_v3_Kidney_kidney_female_embryo__85_days_	3.161557161273501e-07	9.605361934393887e-08	0.0004983610992882383
Epimap_v3_Kidney_left_kidney_female_embryo__147_days_	3.8360377869065014e-07	1.1740320496952861e-07	0.0005426920920244108
Epimap_v3_Lymphoblastoid_GM19240	1.7640516925948058e-07	5.4048528141184204e-08	0.0005495868576217419
Epimap_v3_Lung_lung_embryo__80_days__and_male_embryo__76_days_	2.57382885445718e-07	7.929842845593829e-08	0.0005857080085240853
Epimap_v3_Lung_right_lung_female_embryo__107_days_	2.965351659344154e-07	9.139050287231157e-08	0.0005878630351576263
Epimap_v3_Kidney_left_kidney_female_embryo__98_days_	3.4762264880217753e-07	1.0860583356157694e-07	0.0006852966782149663
Epimap_v3_Lung_right_lung_female_embryo__117_days_	2.977507699572402e-07	9.308542018304934e-08	0.0006902839214183125
Epimap_v3_Kidney_kidney_female_embryo__121_day_	3.780475461120695e-07	1.184901146499804e-07	0.0007100339234705544
Epimap_v3_Lung_lung_female_embryo__96_days_	2.683667791660123e-07	8.464997002594763e-08	0.0007613778106006243
Epimap_v3_Kidney_right_kidney_female_embryo__147_days_	3.5964261015050203e-07	1.1375323180812722e-07	0.0007845153737406942
Epimap_v3_Lung_lung_male_embryo__108_days_	2.767134683111553e-07	8.783034895275337e-08	0.0008148306986578151
Epimap_v3_iPSC_iPS_11a_male_adult__36_years_	2.656655567006698e-07	8.57688627947205e-08	0.000975936175986304
Epimap_v3_iPSC_iPS_DF_4_7_male_newborn	3.469853443511068e-07	1.1342811960654381e-07	0.001110100631028979
Epimap_v3_iPSC_iPS_18c_female_adult__48_years_	2.488650840176649e-07	8.146699068214723e-08	0.0011260661143907235
Epimap_v3_Liver_hepatic_stellate_cell_female_adult__59_years_	1.6954397580159425e-07	5.552024359088645e-08	0.0011300673210501032
Epimap_v3_Kidney_renal_cortex_interstitium_female_embryo__120_days_	3.476915454666008e-07	1.1552532561060796e-07	0.0013077165491330789
Epimap_v3_Kidney_left_kidney_male_embryo__115_days_	3.3201961377158556e-07	1.1118755116930894e-07	0.0014126986191397373
Epimap_v3_Lymphoblastoid_GM19239	1.5469194689925542e-07	5.296627404356355e-08	0.001746933508430166
Epimap_v3_Kidney_renal_cortex_interstitium_male_embryo__113_days_	3.0668905883935917e-07	1.0542298878258343e-07	0.0018121872061017139
Epimap_v3_iPSC_GM23338_male_adult__53_years__originated_from_GM23248	1.6614148248097313e-07	5.753143353114816e-08	0.0019394955678838381
Epimap_v3_Kidney_HEK293	2.710757478718829e-07	9.43423424777415e-08	0.0020309117559694106
Epimap_v3_Muscle_forelimb_muscle_female_embryo__108_days_	3.102828700208568e-07	1.0897262489321975e-07	0.0022042644058043923
Epimap_v3_Lung_upper_lobe_of_left_lung_female_adult__53_years_	1.7546862668120882e-07	6.262289070498914e-08	0.0025394333112411225
Epimap_v3_Liver_liver_male_adult__32_years_	2.2039026113816515e-07	7.878737399656332e-08	0.002576751070538123
Epimap_v3_Liver_liver_male_adult__78_years_	1.3914879778471938e-07	4.985042322351408e-08	0.0026246261407882328
Epimap_v3_Lung_upper_lobe_of_left_lung_female_adult__51_year_	2.0325258089131627e-07	7.43447685040242e-08	0.0031292711871250233
Epimap_v3_iPSC_iPS_DF_19_7_male_newborn	3.173864399387572e-07	1.1810980119033383e-07	0.0036025270026037557
Epimap_v3_Kidney_left_kidney_female_embryo__59_days__and_male_embryo__91_day_	3.15591203345283e-07	1.1764248260033901e-07	0.003652292404765811
Epimap_v3_Kidney_kidney_male_adult__67_years_	1.5447098243919735e-07	5.835543429881075e-08	0.004059614265046092
Epimap_v3_Kidney_kidney_male_adult__50_years_	1.6481768423336415e-07	6.429167610801252e-08	0.005179748697610191
Epimap_v3_iPSC_L1_S8R	3.019191474526401e-07	1.190252221723561e-07	0.005596769477791551
Epimap_v3_Liver_liver_female_adult__25_years_	1.0269337925455666e-07	4.205555476486443e-08	0.007306097274910552
Epimap_v3_Kidney_kidney_female_embryo__120_days_	2.0771414278431473e-07	8.509705381440815e-08	0.007325178142614396
Epimap_v3_Lung_lung_female_embryo__120_days_	1.4517119673243314e-07	6.015105449673504e-08	0.007901279769673924
Epimap_v3_iPSC_iPS_15b_female_adult__48_years_	1.4871395083202185e-07	6.193211949988029e-08	0.008169783404628532
Epimap_v3_Lymphoblastoid_GM10266	1.1919712164566307e-07	4.968607019097679e-08	0.008219849249391675
Epimap_v3_Mesench_embryonic_facial_prominence_embryo__53_days__and_embryo__58_days_	2.807173041621135e-07	1.1704550739941648e-07	0.008234327429109359
Epimap_v3_Mesench_dedifferentiated_amniotic_fluid_mesenchymal_stem_cell	2.1334774754566606e-07	9.025060388791243e-08	0.009040671641186061
Epimap_v3_Lymphoblastoid_GM18507	1.3025400675908352e-07	5.541676752080366e-08	0.009375515375757865
Epimap_v3_Liver_liver_male_adult__31_year_	9.165742325826601e-08	3.927693587503238e-08	0.009807827436238445
Epimap_v3_Lymphoblastoid_GM12891	1.0058543839611247e-07	4.3675214176724154e-08	0.010638506834456385
Epimap_v3_iPSC_L1_S8	2.0097073316418097e-07	9.584873211897437e-08	0.018007900225250218
Epimap_v3_Lymphoblastoid_GM12892	8.777481129680007e-08	4.255757528782428e-08	0.01958028855393031
Epimap_v3_iPSC_iPS_DF_19_11_male_newborn	8.601092263403908e-08	4.201629655594714e-08	0.020324878860471934
Epimap_v3_HSC_B_cell_B_cell	1.4887933070245009e-07	7.296078863752626e-08	0.020648338087771983
Epimap_v3_iPSC_iPS_20b_male_adult__55_years_	1.2260959496585417e-07	6.045607007495745e-08	0.02127616985922528
Epimap_v3_HSC_B_cell_neutrophil	9.877919564504928e-08	4.936062961553261e-08	0.02268683507240873
Epimap_v3_HSC_B_cell_neutrophil_male	9.303195232924607e-08	4.757427275451413e-08	0.025261469190159667
Epimap_v3_iPSC_iPS_DF_6_9_male_newborn	1.7752042151934362e-07	9.369192383400013e-08	0.029064428214276655
Epimap_v3_Heart_tibial_artery_male_adult__37_years_	1.1682491691162498e-07	6.189312524753066e-08	0.02954476966390004
Epimap_v3_HSC_B_cell_common_myeloid_progenitor__CD34_positive_male_adult	1.170141599450329e-07	6.295570918556169e-08	0.03153665780927786
Epimap_v3_Lymphoblastoid_GM10248	8.837453100794423e-08	4.782644096760813e-08	0.032314379616589256
Epimap_v3_iPSC_iPS_18a_female_adult__48_years_	9.475296589845456e-08	5.152280885833276e-08	0.032953995649273225
Epimap_v3_Lung_lung_female_adult__30_years_	1.0785343265936984e-07	6.202186314367282e-08	0.04102105053369083
Epimap_v3_HSC_B_cell_common_myeloid_progenitor__CD34_positive_male_adult__37_years_	8.864177503333699e-08	5.157900248139207e-08	0.04284696957503765
Epimap_v3_Heart_tibial_artery_female_adult__53_years_	1.2885465740309332e-07	7.53939430672197e-08	0.043717602573209856
Epimap_v3_Liver_right_lobe_of_liver_female_adult__53_years_	8.839724262013553e-08	5.325101396003591e-08	0.04845616953194032
Epimap_v3_HSC_B_cell_common_myeloid_progenitor__CD34_positive_male_adult__43_years_	9.323512559744145e-08	6.32169094520031e-08	0.07012714655483485
Epimap_v3_Muscle_gastrocnemius_medialis_female_adult__51_year_	8.441239156916768e-08	5.857314022258861e-08	0.07477185316032754
Epimap_v3_HSC_B_cell_hematopoietic_multipotent_progenitor_cell	7.754375602963608e-08	5.576689791998191e-08	0.0821888639734708
Epimap_v3_Lymphoblastoid_GM19238	4.5016524776908624e-08	3.5007356847967355e-08	0.09923616716793171
Epimap_v3_HSC_B_cell_common_myeloid_progenitor__CD34_positive_female_adult__50_years_	6.596702166861915e-08	5.245368456345333e-08	0.10426385345414807
Epimap_v3_HSC_B_cell_common_myeloid_progenitor__CD34_positive_female	6.432679174771701e-08	5.464502810141048e-08	0.1195627199874228
Epimap_v3_Muscle_cardiac_muscle_cell	8.162174066891446e-08	6.953021690367771e-08	0.12021691023010433
Epimap_v3_HSC_B_cell_common_myeloid_progenitor__CD34_positive_female_adult__27_years_	5.428292210669747e-08	4.693546533260875e-08	0.12372939442144332
Epimap_v3_HSC_B_cell_common_myeloid_progenitor__CD34_positive_female_adult__33_years_	7.833117542500364e-08	6.782291304220504e-08	0.12405816233790756
Epimap_v3_HSC_B_cell_common_myeloid_progenitor__CD34_positive_male_adult__36_years_	8.378232919950084e-08	7.474281458258166e-08	0.1311563636701018
Epimap_v3_HSC_B_cell_common_myeloid_progenitor__CD34_positive_male_adult__23_years_	6.493216840609953e-08	5.851490839579993e-08	0.1335708852766399
Epimap_v3_Lymphoblastoid_GM12875	5.998880839281596e-08	5.530299112139624e-08	0.13902064902908112
Epimap_v3_HSC_B_cell_common_myeloid_progenitor__CD34_positive_male	6.512779653915783e-08	6.063064435552527e-08	0.141372592604933
Epimap_v3_HSC_B_cell_hematopoietic_multipotent_progenitor_cell_treated_with_interleukin_3_for_4_days__kit_ligand_for_4_days__hydrocortisone_succinate_for_4_days__erythropoietin_for_4_days	6.117016899012263e-08	5.7615151441576786e-08	0.14418530846726463
Epimap_v3_HSC_B_cell_germinal_center	4.485114717261043e-08	4.2607705840577486e-08	0.14624993268492453
Epimap_v3_HSC_B_cell_hematopoietic_multipotent_progenitor_cell_treated_with_interleukin_3_for_6_days__kit_ligand_for_6_days__hydrocortisone_succinate_for_6_days__erythropoietin_for_6_days	4.775392435938069e-08	4.692914699453431e-08	0.15443999868998992
Epimap_v3_HSC_B_cell_common_myeloid_progenitor__CD34_positive_male_adult__49_years_	5.590766038804554e-08	5.81899085399345e-08	0.168331570958686
Epimap_v3_Heart_thoracic_aorta_male_adult__54_years_	4.904190959796102e-08	5.223886778071326e-08	0.17391642197317736
Epimap_v3_HSC_B_cell_CD14_positive_monocyte_female_adult__34_years_	5.551282904738714e-08	6.056051597906468e-08	0.17966289850707912
Epimap_v3_Heart_thoracic_aorta_male_adult__37_years_	4.52102908830229e-08	4.933533788875109e-08	0.1797318236775557
Epimap_v3_HSC_B_cell_common_myeloid_progenitor__CD34_positive_male_adult__42_years_	4.02643940009465e-08	4.4720673415409944e-08	0.1839662030776752
Epimap_v3_HSC_B_cell_CD14_positive_monocyte_female	3.51062756629164e-08	4.0151978815317785e-08	0.1909679541571152
Epimap_v3_HSC_B_cell_hematopoietic_multipotent_progenitor_cell_treated_with_interleukin_3_for_18_days__kit_ligand_for_18_days__hydrocortisone_succinate_for_18_days__erythropoietin_for_18_days	5.030865040687918e-08	5.97689034931288e-08	0.19997249569857278
Epimap_v3_Muscle_gastrocnemius_medialis_female_adult__53_years_	3.512277400908633e-08	4.3605892675850446e-08	0.21027732720498193
Epimap_v3_HSC_B_cell_CD14_positive_monocyte_male_adult__21_year_	3.194714438646863e-08	4.22549505074127e-08	0.2248075585022124
Epimap_v3_HSC_B_cell_natural_killer_cell_male_adult__37_years_	3.451689814641378e-08	4.804598534532599e-08	0.23625109506949038
Epimap_v3_Liver_hepatocyte	1.9411480954471988e-08	2.8090069565966604e-08	0.24476886787127433
Epimap_v3_HSC_B_cell_natural_killer_cell_female_adult__34_years_	3.068724849030215e-08	4.67849186310967e-08	0.25593721734527286
Epimap_v3_HSC_B_cell_B_cell_female_adult__27_years__and_female_adult__43_years_	3.101309664843292e-08	4.772513354989973e-08	0.25790187791912583
Epimap_v3_HSC_B_cell_naive_B_cell	2.619058615306516e-08	4.159714546063748e-08	0.264470111716129
Epimap_v3_HSC_B_cell_CD14_positive_monocyte_male_adult__37_years_	3.4581768021362175e-08	5.64745150112235e-08	0.2701554574940198
Epimap_v3_HSC_B_cell_B_cell_female_adult__34_years_	2.5007517894024502e-08	4.143637701943137e-08	0.27308272632981845
Epimap_v3_HSC_B_cell_B_cell_female_adult__43_years_	2.5914513746386025e-08	4.826761353493052e-08	0.29567097856696034
Epimap_v3_Muscle_gastrocnemius_medialis_male_adult__37_years_	1.9790747733417778e-08	3.8143561608113444e-08	0.3019330321234417
Epimap_v3_HSC_B_cell_B_cell_female_adult__27_years_	1.760265420092096e-08	3.8067633163273104e-08	0.32189554865656145
Epimap_v3_HSC_B_cell_common_myeloid_progenitor__CD34_positive	2.4781347020407294e-08	5.6386922166809006e-08	0.3301541715037837
Epimap_v3_HSC_B_cell_CD1c_positive_myeloid_dendritic_cell	2.2432090942540423e-08	5.279782605228426e-08	0.33546656084335813
Epimap_v3_Muscle_gastrocnemius_medialis_male_adult__54_years_	1.4108948505669899e-08	3.614940634329146e-08	0.3481590468879763
Epimap_v3_HSC_B_cell_B_cell_male_adult__37_years_	1.772270422965105e-08	4.625569412375871e-08	0.3508055963902194
Epimap_v3_HSC_B_cell_hematopoietic_multipotent_progenitor_cell_treated_with_interleukin_3_for_17_days__kit_ligand_for_17_days__hydrocortisone_succinate_for_17_days__erythropoietin_for_17_days	1.804514033786684e-08	5.245161233133071e-08	0.36541034157587127
Epimap_v3_HSC_B_cell_hematopoietic_multipotent_progenitor_cell_male_adult__25_years__treated_with_erythropoietin_for_20_days__hydrocortisone_succinate_for_20_days__kit_ligand_for_20_days__interleukin_3_for_20_days	1.1748263339835968e-08	5.2750289253852137e-08	0.41187879098748814
Epimap_v3_HSC_B_cell_hematopoietic_multipotent_progenitor_cell_treated_with_interleukin_3_for_8_days__kit_ligand_for_8_days__hydrocortisone_succinate_for_8_days__erythropoietin_for_8_days	8.630600495609765e-09	5.5008112383889666e-08	0.43766306450386283
Epimap_v3_HSC_B_cell_B_cell_male_adult__21_year_	5.3190918895079765e-09	3.623604246428965e-08	0.4416488539828827
Epimap_v3_Heart_right_cardiac_atrium_male_adult__34_years_	3.769890356822326e-09	4.486594123641429e-08	0.4665180147973852
Epimap_v3_HSC_B_cell_hematopoietic_multipotent_progenitor_cell_treated_with_interleukin_3_for_15_days__kit_ligand_for_15_days__hydrocortisone_succinate_for_15_days__erythropoietin_for_15_days	3.884419024175903e-09	5.391456421736658e-08	0.4712819834458736
Epimap_v3_Lymphoblastoid_GM12878	3.4414074450809463e-09	5.0883765685987455e-08	0.47303900436600643
Epimap_v3_HSC_B_cell_hematopoietic_multipotent_progenitor_cell_treated_with_interleukin_3_for_13_days__kit_ligand_for_13_days__hydrocortisone_succinate_for_13_days__erythropoietin_for_13_days	3.6806332847013133e-09	5.7425512083685126e-08	0.47444767224179
Epimap_v3_HSC_B_cell_hematopoietic_multipotent_progenitor_cell_treated_with_interleukin_3_for_11_day__kit_ligand_for_11_day__hydrocortisone_succinate_for_11_day__erythropoietin_for_11_day	1.4777292747918479e-09	6.329440889739849e-08	0.49068677400137817
Epimap_v3_HSC_B_cell_natural_killer_cell_male_adult__21_year_	-9.035920187880398e-09	4.4165216812608345e-08	0.5810551674003502
Epimap_v3_Lymphoblastoid_GM06990	-1.9654497237501274e-08	4.474056485847017e-08	0.6697776464831091
Epimap_v3_Mesench_adipocyte_originated_from_mesenchymal_stem_cell	-2.1641707219415284e-08	4.67651968787552e-08	0.6782367385710313
Epimap_v3_Mesench_mesenchymal_stem_cell_originated_from_adipose_tissue	-2.463376817759499e-08	4.657951588845119e-08	0.7015466691644464
Epimap_v3_Liver_liver_embryo__59_days__and_embryo__80_days_	-3.454166866165834e-08	5.8532801167075976e-08	0.7224465717603996
Epimap_v3_Lymphoblastoid_GM12865	-2.5549111558039955e-08	4.0861924917674424e-08	0.7340980545427959
Epimap_v3_Lymphoblastoid_GM08714	-2.880769553287427e-08	4.096263653847163e-08	0.7590555042887678
Epimap_v3_Lung_lung_male_child__3_years_	-2.7621375009527076e-08	3.4411254519015664e-08	0.7889213957880981
Epimap_v3_Lymphoblastoid_GM12864	-3.416888356474365e-08	3.8127049728990343e-08	0.8149229717032698
Epimap_v3_HSC_B_cell_Jurkat_clone_E61	-5.4684660767255983e-08	4.3727451465481033e-08	0.894456059764208
